user_id,item_id,rating,timestamp
944,1,4.0,
944,7,,
944,9,,
944,11,3.0,
944,12,,
944,15,,
944,22,4.0,
944,25,,
944,28,3.0,
944,50,4.0,
944,56,4.0,
944,64,4.0,
944,69,4.0,
944,70,,
944,79,3.0,
944,82,5.0,
944,89,3.0,
944,96,5.0,
944,97,4.0,
944,98,3.0,
944,100,,
944,111,,
944,117,3.0,
944,118,4.0,
944,121,,
944,125,,
944,127,4.0,
944,132,,
944,135,3.0,
944,143,5.0,
944,144,3.0,
944,151,,
944,153,,
944,168,,
944,172,4.0,
944,173,,
944,174,4.0,
944,176,4.0,
944,181,4.0,
944,182,,
944,183,4.0,
944,185,,
944,186,,
944,191,4.0,
944,194,3.0,
944,195,3.0,
944,196,,
944,197,3.0,
944,202,4.0,
944,204,5.0,
944,210,4.0,
944,216,2.0,
944,222,,
944,228,,
944,234,5.0,
944,237,,
944,238,,
944,245,,
944,257,4.0,
944,258,3.0,
944,265,,
944,268,,
944,269,,
944,273,,
944,275,,
944,276,,
944,282,,
944,286,,
944,288,,
944,289,,
944,294,,
944,300,3.0,
944,301,,
944,302,,
944,313,4.0,
944,318,4.0,
944,323,3.0,
944,328,,
944,333,,
944,357,,
944,405,4.0,
944,423,4.0,
944,475,,
944,483,2.0,
944,496,,
944,546,,
944,568,4.0,
944,655,,
944,742,,
944,748,,
944,4,,
944,8,,
944,71,4.0,
944,88,,
944,95,3.0,
944,161,,
944,175,,
944,179,,
944,180,,
944,187,4.0,
944,200,,
944,211,,
944,215,,
944,235,4.0,
944,271,4.0,
944,322,,
944,385,3.0,
944,427,,
944,435,,
944,471,,
944,508,,
944,597,3.0,
944,603,,
944,678,,
944,134,,
944,208,,
944,209,,
944,230,,
944,250,4.0,
944,272,4.0,
944,284,,
944,298,3.0,
944,393,4.0,
944,403,3.0,
944,474,,
944,515,,
944,527,,
944,588,4.0,
944,124,,
944,147,,
944,274,,
944,307,,
944,340,,
944,13,,
944,14,,
944,23,,
944,203,4.0,
944,514,,
944,566,,
944,732,,
944,751,3.0,
944,479,,
944,480,,
944,419,,
944,591,,
944,83,,
944,283,,
944,58,,
944,845,,
944,326,,
944,327,,
944,24,,
944,154,,
944,432,,
944,511,,
944,99,,
944,255,,
944,133,4.0,
944,433,,
945,50,3.0,
945,100,2.0,
945,181,5.0,
945,258,0.0,
945,286,1.0,
945,294,1.0,
947,50,4.0,
947,100,,
947,181,,
947,258,,
947,286,,
947,294,,
947,100,,
947,181,,
947,258,,
947,286,,
947,294,,
947,100,3.0,
947,181,4.0,
947,258,0.0,
947,286,2.0,
947,294,0.0,
948,50,,
948,100,,
948,181,,
948,258,,
948,286,,
948,294,,
948,56,1.0,
948,121,,
948,127,,
948,174,,
948,288,,
948,300,,
948,7,,
948,98,4.0,
948,117,,
948,172,,
948,237,,
948,204,,
948,222,,
948,313,,
948,79,2.0,
948,210,,
948,405,,
948,151,3.0,
948,173,3.0,
949,50,5.0,
949,100,3.0,
949,181,5.0,
949,258,,
949,286,,
949,294,,
949,288,,
949,300,,
949,121,,
949,174,4.0,
948,4,2.0,
948,8,,
948,9,,
948,11,4.0,
948,12,,
948,15,,
948,22,,
948,25,,
948,28,4.0,
948,64,,
948,69,5.0,
948,70,,
948,71,,
948,82,,
948,88,,
948,89,,
948,95,,
948,96,,
948,97,,
948,111,,
948,118,,
948,125,,
948,132,5.0,
948,135,5.0,
948,143,3.0,
948,144,3.0,
948,153,,
948,161,4.0,
948,168,5.0,
948,176,,
948,179,5.0,
948,180,,
948,182,,
948,183,,
948,185,,
948,186,,
948,187,,
948,191,,
948,194,,
948,195,,
948,196,,
948,197,,
948,202,,
948,215,,
948,216,,
948,228,,
948,234,,
948,235,,
948,238,,
948,245,,
948,257,,
948,265,,
948,268,,
948,269,,
948,271,,
948,273,,
948,275,,
948,276,,
948,282,,
948,289,,
948,301,,
948,302,,
948,318,,
948,322,,
948,323,,
948,328,,
948,333,,
948,357,,
948,423,,
948,427,,
948,435,,
948,471,,
948,475,,
948,483,,
948,496,,
948,508,,
948,546,,
948,568,,
948,603,,
948,655,,
948,678,,
948,742,,
948,748,,
948,13,,
948,14,,
948,23,,
948,24,,
948,58,,
948,83,,
948,99,,
948,124,,
948,133,,
948,134,5.0,
948,137,,
948,147,,
948,154,,
948,175,,
948,188,,
948,199,,
948,200,,
948,203,,
948,208,,
948,209,,
948,211,,
948,218,,
948,226,,
948,229,,
948,230,,
948,250,,
948,255,,
948,272,,
948,274,,
948,283,,
948,284,,
948,298,,
948,307,,
948,319,,
948,321,,
948,326,,
948,327,,
948,340,,
948,367,,
948,385,,
948,393,,
948,402,,
948,403,,
948,419,,
948,432,,
948,433,,
948,451,,
948,474,,
948,479,,
948,480,,
948,511,,
948,514,,
948,515,,
948,527,,
948,566,,
948,582,,
948,588,,
948,591,,
948,597,,
948,628,,
948,651,,
948,684,,
948,732,,
948,739,,
948,751,,
948,845,,
948,2,4.0,
948,31,,
948,42,,
948,47,,
948,55,,
948,66,,
948,68,,
948,77,,
948,86,,
948,87,,
948,91,,
948,94,,
948,150,,
948,156,,
948,164,,
948,177,,
948,193,,
948,205,,
948,213,,
948,223,,
948,227,,
948,231,,
948,239,,
948,240,,
948,243,,
948,248,,
948,252,,
948,259,,
948,270,,
948,281,,
948,285,,
948,293,,
948,303,,
948,304,,
948,310,,
948,315,,
948,332,,
948,347,,
948,358,,
948,410,,
948,411,,
948,431,,
948,443,,
948,455,,
948,462,,
948,472,,
948,476,,
948,484,,
948,498,,
948,523,,
948,550,,
948,559,,
948,654,,
948,657,,
948,660,,
948,685,,
948,690,,
948,692,,
948,705,,
948,735,,
