item id,rating,movie title,genre
1,3.878318584,Toy Story (1995),   Animation Childrens Comedy             
2,3.20610687,GoldenEye (1995), Action Adventure              Thriller  
3,3.033333333,Four Rooms (1995),                Thriller  
4,3.550239234,Get Shorty (1995), Action    Comedy   Drama          
5,3.302325581,Copycat (1995),      Crime  Drama        Thriller  
6,3.576923077,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),        Drama          
7,3.798469388,Twelve Monkeys (1995),        Drama       Sci-Fi   
8,3.99543379,Babe (1995),    Childrens Comedy   Drama          
9,3.89632107,Dead Man Walking (1995),        Drama          
10,3.831460674,Richard III (1995),        Drama         War 
11,3.847457627,Seven (Se7en) (1995),      Crime          Thriller  
12,4.38576779,"Usual Suspects, The (1995)",      Crime          Thriller  
13,3.418478261,Mighty Aphrodite (1995),     Comedy             
14,3.967213115,"Postino, Il (1994)",        Drama      Romance    
15,3.778156997,Mr. Holland's Opus (1995),        Drama          
16,3.205128205,French Twist (Gazon maudit) (1995),     Comedy         Romance    
17,3.119565217,From Dusk Till Dawn (1996), Action    Comedy Crime     Horror     Thriller  
18,2.8,"White Balloon, The (1995)",        Drama          
19,3.956521739,Antonia's Line (1995),        Drama          
20,3.416666667,Angels and Insects (1995),        Drama      Romance    
21,2.761904762,Muppet Treasure Island (1996), Action Adventure   Comedy       Musical    Thriller  
22,4.151515152,Braveheart (1995), Action       Drama         War 
23,4.120879121,Taxi Driver (1976),        Drama        Thriller  
24,3.448275862,Rumble in the Bronx (1995), Action Adventure    Crime            
25,3.443686007,"Birdcage, The (1996)",     Comedy             
26,3.452054795,"Brothers McMullen, The (1995)",     Comedy             
27,3.105263158,Bad Boys (1995), Action                 
28,3.93115942,Apollo 13 (1995), Action       Drama        Thriller  
29,2.666666667,Batman Forever (1995), Action Adventure   Comedy Crime            
30,3.945945946,Belle de jour (1967),        Drama          
31,3.62987013,Crimson Tide (1995),        Drama        Thriller War 
32,3.790123457,Crumb (1994),       Documentary           
33,3.453608247,Desperado (1995), Action             Romance  Thriller  
34,2.714285714,"Doom Generation, The (1995)",     Comedy   Drama          
35,2.181818182,Free Willy 2: The Adventure Home (1995),  Adventure  Childrens    Drama          
36,2.153846154,Mad Love (1995),        Drama      Romance    
37,2.25,Nadja (1994),        Drama          
38,3.008333333,"Net, The (1995)",               Sci-Fi Thriller  
39,3.264367816,Strange Days (1995), Action     Crime         Sci-Fi   
40,2.894736842,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",     Comedy             
41,3.081081081,Billy Madison (1995),     Comedy             
42,3.804054054,Clerks (1994),     Comedy             
43,3,Disclosure (1994),        Drama        Thriller  
44,3.341772152,Dolores Claiborne (1994),        Drama        Thriller  
45,4.05,Eat Drink Man Woman (1994),     Comedy   Drama          
46,3.555555556,Exotica (1994),        Drama          
47,3.601503759,Ed Wood (1994),     Comedy   Drama          
48,4.094017094,Hoop Dreams (1994),       Documentary           
49,3.320987654,I.Q. (1994),     Comedy         Romance    
50,4.358490566,Star Wars (1977), Action Adventure            Romance Sci-Fi  War 
51,3.456790123,Legends of the Fall (1994),        Drama      Romance   War Western
52,3.769230769,"Madness of King George, The (1994)",        Drama          
53,2.953125,Natural Born Killers (1994), Action               Thriller  
54,3.240384615,Outbreak (1995), Action       Drama        Thriller  
55,3.704697987,"Professional, The (1994)",      Crime  Drama      Romance  Thriller  
56,4.060913706,Pulp Fiction (1994),      Crime  Drama          
57,4,Priest (1994),        Drama          
58,3.645714286,Quiz Show (1994),        Drama          
59,4.060240964,Three Colors: Red (1994),        Drama          
60,4.015625,Three Colors: Blue (1993),        Drama          
61,3.86440678,Three Colors: White (1994),        Drama          
62,3.141732283,Stargate (1994), Action Adventure             Sci-Fi   
63,3.097560976,"Santa Clause, The (1994)",    Childrens Comedy             
64,4.445229682,"Shawshank Redemption, The (1994)",        Drama          
65,3.539130435,What's Eating Gilbert Grape (1993),     Comedy   Drama          
66,3.549382716,While You Were Sleeping (1995),     Comedy         Romance    
67,3.048543689,Ace Ventura: Pet Detective (1994),     Comedy             
68,3.417910448,"Crow, The (1994)", Action             Romance  Thriller  
69,3.853582555,Forrest Gump (1994),     Comedy         Romance   War 
70,3.661354582,Four Weddings and a Funeral (1994),     Comedy         Romance    
71,3.781818182,"Lion King, The (1994)",   Animation Childrens        Musical      
72,3.19379845,"Mask, The (1994)",     Comedy Crime   Fantasy         
73,3.46875,Maverick (1994), Action    Comedy             Western
74,3,Faster Pussycat! Kill! Kill! (1965), Action    Comedy   Drama          
75,3,Brother Minister: The Assassination of Malcolm X (1994),       Documentary           
76,3.407407407,Carlito's Way (1993),      Crime  Drama          
77,3.278145695,"Firm, The (1993)",        Drama        Thriller  
78,2.454545455,Free Willy (1993),  Adventure  Childrens    Drama          
79,4.044642857,"Fugitive, The (1993)", Action               Thriller  
80,2.764705882,Hot Shots! Part Deux (1993), Action    Comedy            War 
